product_id,product_title,variant_id,shopify_sku,inventory_quantity,action
gid://shopify/Product/8321717633191,Stiga GT 100e KIT 20v 2-in-1 Cordless Grass-Trimmer & Lawn Edger (Inc. Battery & Charger),gid://shopify/ProductVariant/45927545405607,STIG-271102218/UKS,0,would_untrack
gid://shopify/Product/8321717534887,Stiga C 215 SU 20v ePower Single-Port Battery Charger | 271021000/21,gid://shopify/ProductVariant/45927545274535,STIG-271021000/21,0,would_untrack
gid://shopify/Product/8321717371047,Stiga C 215 DU 20v ePower Twin-Port Battery Charger | 271021100/21,gid://shopify/ProductVariant/45927545012391,STIG-271021100/21,0,would_untrack
gid://shopify/Product/8321717272743,Stiga E24 20v/4Ah ePower Lithium-Ion Battery | 271014008/ST1,gid://shopify/ProductVariant/45927544848551,STIG-271014008/ST1,0,would_untrack
gid://shopify/Product/8321717076135,Stiga E22 20v/2Ah ePower Lithium-Ion Battery | 271012008/ST1,gid://shopify/ProductVariant/45927543832743,STIG-271012008/ST1,0,would_untrack
gid://shopify/Product/8321717010599,Stiga VS 100e KIT 20v Cordless Blower-Vac (Inc. 2 x Batteries & Charger),gid://shopify/ProductVariant/45927543767207,STIG-271504298/UKS,0,would_untrack
gid://shopify/Product/8321697939623,Stiga Combi 753 SE 4-in-1 Self-Propelled Petrol Lawnmower with Electric Start,gid://shopify/ProductVariant/45927477543079,STIG-2L0536548/ST2,0,would_untrack
gid://shopify/Product/8321697808551,Stiga Combi 753 S 4-in-1 Self-Propelled Petrol Lawnmower,gid://shopify/ProductVariant/45927476625575,STIG-2L0536848/ST2,0,would_untrack
gid://shopify/Product/8321692631207,Stiga E440 48v/4Ah ePower Lithium-Ion Battery 274014004/ST1,gid://shopify/ProductVariant/45927458996391,274014004/ST1,0,would_untrack
gid://shopify/Product/8321665630375,Mountfield C 215 DU 20v Freedom 100 Dual Standard Charger,gid://shopify/ProductVariant/45927334903975,MF-271021100/21,0,would_untrack
gid://shopify/Product/8321665269927,Stiga BC 545 B Petrol Brushcutter,gid://shopify/ProductVariant/45927332708519,STIG-287321002/ST1,-1,would_untrack
gid://shopify/Product/8321664975015,Stiga BC 535 B Petrol Brushcutter,gid://shopify/ProductVariant/45927331954855,STIG-287221002/ST1,0,would_untrack
gid://shopify/Product/8321664843943,Stiga BC 330 A Petrol Brushcutter,gid://shopify/ProductVariant/45927331725479,STIG-287120102/ST2,0,would_untrack
gid://shopify/Product/8321664680103,Stiga BL 980 R Backpack Blower,gid://shopify/ProductVariant/45927331496103,STIG-255175102/ST1,0,would_untrack
gid://shopify/Product/8321664647335,Stiga BL 530 Petrol Leaf-Blower,gid://shopify/ProductVariant/45927331365031,STIG-255127092/ST2,0,would_untrack
gid://shopify/Product/8321664450727,Stiga BL 530 V Petrol Blower-Vac,gid://shopify/ProductVariant/45927331102887,STIG-255127002/ST1,0,would_untrack
gid://shopify/Product/8321662681255,Mountfield SP53 Self-Propelled 3-in-1 Petrol Lawnmower,gid://shopify/ProductVariant/45927320748199,2L0536048/M21,0,would_untrack
gid://shopify/Product/8321654259879,Spectrum 102cm Towed Dethatching Rake | SP31101,gid://shopify/ProductVariant/45927280967847,SPEC-SP31101,0,would_untrack
gid://shopify/Product/8321654161575,Spectrum 57kg-Capacity Towed Broadcast Spreader | SP31508,gid://shopify/ProductVariant/45927278608551,SPEC-SP31508,0,would_untrack
gid://shopify/Product/8321653964967,Spectrum 295kg-Capacity Push / Tow Poly Tipping-Cart | SP22134,gid://shopify/ProductVariant/45927277691047,SPEC-SP22134,0,would_untrack
gid://shopify/Product/8321631256743,Mountfield MTR 20 Li KIT 20v Cordless Grass-Trimmer (Inc. Battery & Charger),gid://shopify/ProductVariant/45927095566503,MF-271102203/MUK,0,would_untrack
gid://shopify/Product/8321630109863,Mountfield MHT 20 Li KIT 20v Cordless Hedgetrimmer (Inc. Battery & Charger),gid://shopify/ProductVariant/45927092584615,MF-271302203/MUK,0,would_untrack
gid://shopify/Product/8321626603687,Mountfield B440 48v/4Ah Freedom 500 Lithium-Ion Battery,gid://shopify/ProductVariant/45927075414183,MF-274014004/ST1,0,would_untrack
gid://shopify/Product/8321625784487,Mountfield Empress 46 Li KIT 4-in-1 Self-Propelled Cordless Lawnmower (Inc. 2 x Batteries & Charger),gid://shopify/ProductVariant/45927072563367,MF-299489073/M22,-1,would_untrack
gid://shopify/Product/8321624113319,Spectrum 181kg-Capacity Steel Tipping Trailer | SP22139,gid://shopify/ProductVariant/45927064469671,SPEC-SP22139,0,would_untrack
gid://shopify/Product/8321563066535,Stiga Estate 598 W Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive,gid://shopify/ProductVariant/45926758580391,C-2T2630481/ST2,0,would_untrack
gid://shopify/Product/8321461518503,Stiga Tornado 398 Side-Discharge Lawn Tractor with Hydrostatic Drive,gid://shopify/ProductVariant/45926732136615,STIG-2T0610481/ST1,0,would_untrack
gid://shopify/Product/8321328152743,Mountfield SP46 Elite 3-in-1 Self-Propelled Petrol Lawnmower (with Honda Engine),gid://shopify/ProductVariant/45926368673959,2L0486038/M19,0,would_untrack
gid://shopify/Product/8321171488935,Stiga Extension Pole for Split-Shaft Brushcutters | 232511610/16,gid://shopify/ProductVariant/45926144606375,STIG-EXT-SHAFT-226,0,would_untrack
gid://shopify/Product/8321169522855,Stiga Silex Brush Attachment | 290950070/10,gid://shopify/ProductVariant/45926142476455,STIG-SILEX-BRUSH,0,would_untrack
gid://shopify/Product/8321165525159,Stiga Silex Brush & Collector Attachment | 290950040/10,gid://shopify/ProductVariant/45926138314919,STIG-BRUSH-COLLECTOR,0,would_untrack
gid://shopify/Product/8321159069863,Stiga Silex Rear-Mounted Rotovator Attachment | 290950020/10,gid://shopify/ProductVariant/45926131433639,STIG-SILEX-ROTOV,0,would_untrack
gid://shopify/Product/8321156350119,Stiga SWS 800 G Self-Propelled Sweeper,gid://shopify/ProductVariant/45926128484519,STIG-SWS-800G,0,would_untrack
gid://shopify/Product/8321154416807,Stiga Front Blade for SWS 800 G Self-Propelled Sweeper | 290802030/16,gid://shopify/ProductVariant/45926126321831,STIG-290802030/16,0,would_untrack
gid://shopify/Product/8321152516263,Stiga Collection Box for SWS 800 G Self-Propelled Sweeper | 290802020/16,gid://shopify/ProductVariant/45926124322983,STIG-COLLECTOR-SWS-800G,0,would_untrack
gid://shopify/Product/8321145766055,Stiga BC 535 Petrol Brushcutter,gid://shopify/ProductVariant/45926114656423,STIG-287220002/ST1,0,would_untrack
gid://shopify/Product/8321101234343,Stiga BC 330 AB Petrol Brushcutter,gid://shopify/ProductVariant/45926053314727,STIG-287121102/ST2,0,would_untrack
gid://shopify/Product/8321100021927,Stiga Hedgetrimmer Attachment for Split-Shaft Brushcutters | 232511710/15,gid://shopify/ProductVariant/45926052036775,STIG-HT-ATTACH-226,0,would_untrack
gid://shopify/Product/8321098547367,Stiga Tree-Pruner Attachment for Split-Shaft Brushcutters | 232511810/15,gid://shopify/ProductVariant/45926049874087,STIG-PRUN-ATTACH-226,0,would_untrack
gid://shopify/Product/8321089962151,Stiga SRC 36 V Petrol Front-Tine Tiller,gid://shopify/ProductVariant/45926036045991,STIG-SRC-36V,0,would_untrack
gid://shopify/Product/8321040285863,Stiga Multiclip 547 S Self-Propelled Petrol Mulching Lawnmower,gid://shopify/ProductVariant/45925897896103,STIG-298472048/ST2,0,would_untrack
gid://shopify/Product/8321022853287,Stiga Park Combi 100 Q Plus QuickFlip Cutter Deck | 2D6210021/ST2,gid://shopify/ProductVariant/45925854085287,STIG-2D6210021/ST2,0,would_untrack
gid://shopify/Product/8320859996327,Stiga Park 500 WX 4WD V-Twin Front-Cut Ride-On Lawnmower (Excluding Deck),gid://shopify/ProductVariant/45925596790951,STIG-2F6130645/ST2,0,would_untrack
gid://shopify/Product/8320856490151,Stiga Combi 166 Compact Rear-Collect & Side-Discharge Ride-On Mower with Hydrostatic Drive,gid://shopify/ProductVariant/45925592596647,STIG-2T0070481/ST2,0,would_untrack
gid://shopify/Product/8320851837095,Stiga Tornado 5108 W Side-Discharge V-Twin Garden Tractor with Hydrostatic Drive,gid://shopify/ProductVariant/45925587091623,STIG-2T1220481/ST2,0,would_untrack
gid://shopify/Product/8320829292711,Mountfield Princess 34 Li KIT 48v Cordless 4-Wheel Rear-Roller Lawnmower (Inc. Battery & Charger),gid://shopify/ProductVariant/45925549801639,MF-34LI-F48,0,would_untrack
gid://shopify/Product/8320807174311,Mountfield Princess 38 Li KIT 48v Cordless 4-Wheel Rear-Roller Lawnmower (Inc. Battery & Charger),gid://shopify/ProductVariant/45925413060775,294386063/M26,-2,would_untrack
gid://shopify/Product/8320806748327,Mountfield Princess 34 Electric 4-Wheel Roller Lawnmower,gid://shopify/ProductVariant/45925412634791,MF-PRINCESS-34,0,would_untrack
gid://shopify/Product/8320806650023,Mountfield Princess 38 Electric 4-Wheel Roller Lawnmower,gid://shopify/ProductVariant/45925411750055,MF-PRINCESS-38,0,would_untrack
