shopify_sku,source,shopify_title
STIG-HPS650RG,main_sync,Stiga HPS 650 RG Electric Pressure-Washer
STIG-HT-ATTACH-226,miss_fixup,Stiga Hedgetrimmer Attachment for Split-Shaft Brushcutters | 232511710/15
STIG-PARK-95-COMBI-EL,main_sync,Stiga Park Combi 95 Q Plus QuickFlip Cutter Deck | 2D6209521/ST2
STIG-PRUN-ATTACH-226,miss_fixup,Stiga Tree-Pruner Attachment for Split-Shaft Brushcutters | 232511810/15
STIG-SILEX-BRUSH,miss_fixup,Stiga Silex Brush Attachment | 290950070/10
STIG-SILEX-ROTOV,main_sync,Stiga Silex Rear-Mounted Rotovator Attachment | 290950020/10
STIG-SILEX-SNOW-BLADE,main_sync,Stiga Silex Snow-Blade Attachment | 290950050/10
STIG-SRC-36V,main_sync,Stiga SRC 36 V Petrol Front-Tine Tiller
STIG-SWS-800G,main_sync,Stiga SWS 800 G Self-Propelled Sweeper
STIGA-398M,main_sync,Stiga Tornado 398M Side-Discharge Lawn Tractor
STIGA-7108E,main_sync,Stiga Tornado 7108e Battery-Powered Side-Discharge Garden Tractor with Stepless Electronic Drive
