suspected_match_miss,stiga_supplier_code,stiga_supplier_desc,brand,shopify_sku,shopify_title,vendor,current_price,current_compare_at_price,product_handle
no,,,Mountfield,MF-2T0515403/CAS,Mountfield MTF 98M SD Side-Discharge Lawn Tractor with Manual Drive,Mountfield,1799.00,2089.00,mountfield-mtf-98m-sd-352cc-98cm-single-cylinder-side-discharge-lawn-tractor-with-manual-drive
no,,,Mountfield,C-MTF66-MQ,Mountfield MTF66M Compact Rear-Collect & Side-Discharge Ride-On Mower with Gear Drive,Mountfield,1499.00,1729.00,mountfield-mtf66-mq-compact-rear-collect-side-discharge-ride-on-mower-with-manual-drive
no,,,Mountfield,MF-827M-XDISP,Mountfield MTF66MQ Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive Ex Demo model,Mountfield,1399.00,1729.00,mountfield-827m-compact-rear-collect-side-discharge-ride-on-mower-with-manual-drive-ex-demo-model
no,,,Mountfield,MF-MTR50Li,Mountfield MTR 50 Li 48v 2-in-1 Cordless Grass-Trimmer & Lawn Edger (Tool Only),Mountfield,129.00,157.00,mountfield-mtr-50-li-48v-2-in-1-cordless-battery-powered-grass-trimmer-and-lawn-edger-tool-only
no,,,Mountfield,MF-294426063/M21,Mountfield Princess 42 Li 48v Cordless 4-Wheel Rear-Roller Lawnmower (Inc. Battery & Charger),Mountfield,661.95,,mountfield-princess-42-li-48v-42cm-cordless-battery-powered-4-wheel-rear-roller-lawnmower
no,,,Mountfield,MF-S421R-HP,Mountfield S421R-HP Hand-Propelled Petrol Rear-Roller Lawnmower,Mountfield,399.00,,mountfield-s421r-hp-123cc-41cm-hand-propelled-petrol-rear-roller-lawnmower
no,,,Mountfield,MF-S421R-PD,Mountfield S421R-PD Self-Propelled Petrol Rear-Roller Lawnmower,Mountfield,399.00,419.00,mountfield-s421r-pd-139cc-41cm-self-propelled-petrol-rear-roller-lawnmower
no,,,Mountfield,MF-S46-PD-LI,Mountfield S46-PD LI 4-in-1 Power-Driven Cordless Lawnmower,Mountfield,874.95,,mountfield-s46-pd-li-cordless-lawnmower
no,,,Mountfield,MF-S461R-PD,Mountfield S461R-PD Self-Propelled Petrol Rear-Roller Lawnmower,Mountfield,479.00,449.00,mountfield-s461r-pd-166cc-46cm-self-propelled-petrol-rear-roller-lawnmower
no,,,Mountfield,MF-278031008/ST1,Mountfield SFC 530 AE Freedom 500 Quick Charger,Mountfield,99.00,,mountfield-sfc-530-ae-freedom-500-quick-charger
